tempo,ID,Chills?,Goosebumps,Chills intensity,#Chills,Stimulus,Duration (in seconds),Arousal pre,Valence Pre,Mood Pre,Arousal Post,Valence Post,Mood post,Liking,Prior Exposure,Reminiscence,spectrogram_pca,mfcc_pca,chroma_pca
0,763,No,No,0,1,Miserere Me (Audio),1587,2,1,3,1,0,4,6,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784718167e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,811,Yes,No,50,2,Miserere Me (Audio),1979,0,10,4,0,10,5,7,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.6836997847180127e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,822,Yes,Yes,33,2,Miserere Me (Audio),2072,10,10,5,0,10,5,10,2,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717967e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,866,Yes,Yes,64,4,Miserere Me (Audio),1186,7,2,3,0,3,3,9,2,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.6836997847179136e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,898,Yes,Yes,44,4,Miserere Me (Audio),1354,0,3,2,0,1,5,10,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.6836997847179546e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,982,No,No,0,1,Miserere Me (Audio),1675,1,1,4,0,5,5,10,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717992e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,997,No,No,0,1,Miserere Me (Audio),2330,0,10,5,1,5,4,7,2,No,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717969e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,1047,No,No,0,1,Miserere Me (Audio),1166,6,6,4,7,6,4,7,2,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717977e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,1071,No,No,0,1,Miserere Me (Audio),1234,3,5,3,0,9,4,8,1,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717977e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
0,1117,Yes,Yes,76,4,Miserere Me (Audio),977,10,8,4,10,6,5,10,2,Yes,"[-13.520295796099202, -5.646265364272857, -0.8160903654699809, -3.3971851153575683, 1.3325502491016101, -4.6609686105974335, -0.7907269610969049, 0.9483384438236373, -0.6494209023548171, -4.276907558522616, -3.1741903144335937, -2.9281975087187893, -0.6458060347983103, 14.475268543278114, 3.3614940785462655, -0.07786622280822192, -0.20808619772259354, -0.018900157895761063, -0.4209831452067703, 4.683699784717977e-14]","[39.49120464683955, -4.024765578501413, 1.1512526753813663, -0.34167207649923026, -4.7418126932683435, 2.000578885467832, -0.5921382619269681, 1.0179042847596185, 1.1053591555363516, -2.4046845551624534]","[-12.039051604457665, 0.3683309019532777, -0.644191743669621, -0.8079921943626095, -0.3948247964299615]"
